,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,LoanAmount_log,ApplicantIncome_log,Loan_Status
0,LP001002,1,0,0,0,0,5849,0.0,130.0,360.0,1.0,2,4.867534450455582,8.674025985443025,1
1,LP001003,1,1,1,0,0,4583,1508.0,128.0,360.0,1.0,0,4.852030263919617,8.430109084509125,0
2,LP001005,1,1,0,0,1,3000,0.0,66.0,360.0,1.0,2,4.189654742026425,8.006367567650246,1
3,LP001006,1,1,0,1,0,2583,2358.0,120.0,360.0,1.0,2,4.787491742782046,7.8567067930958405,1
4,LP001008,1,0,0,0,0,6000,0.0,141.0,360.0,1.0,2,4.948759890378168,8.699514748210191,1
5,LP001011,1,1,2,0,1,5417,4196.0,267.0,360.0,1.0,2,5.58724865840025,8.597297435657898,1
6,LP001013,1,1,0,1,0,2333,1516.0,95.0,360.0,1.0,2,4.553876891600541,7.75491027202143,1
7,LP001014,1,1,3,0,0,3036,2504.0,158.0,360.0,0.0,1,5.062595033026967,8.01829613851552,0
8,LP001018,1,1,2,0,0,4006,1526.0,168.0,360.0,1.0,2,5.123963979403259,8.295548516225763,1
9,LP001020,1,1,1,0,0,12841,10968.0,349.0,360.0,1.0,1,5.855071922202427,9.460398455831275,0
10,LP001024,1,1,2,0,0,3200,700.0,70.0,360.0,1.0,2,4.248495242049359,8.070906088787819,1
11,LP001027,1,1,2,0,0,2500,1840.0,109.0,360.0,1.0,2,4.6913478822291435,7.824046010856292,1
12,LP001028,1,1,2,0,0,3073,8106.0,200.0,360.0,1.0,2,5.298317366548036,8.030409562130485,1
13,LP001029,1,0,0,0,0,1853,2840.0,114.0,360.0,1.0,0,4.736198448394496,7.52456122628536,0
14,LP001030,1,1,2,0,0,1299,1086.0,17.0,120.0,1.0,2,2.833213344056216,7.1693500166706,1
15,LP001032,1,0,0,0,0,4950,0.0,125.0,360.0,1.0,2,4.8283137373023015,8.507142855562735,1
16,LP001034,1,0,1,1,0,3596,0.0,100.0,240.0,1.0,2,4.605170185988092,8.18757739559151,1
17,LP001036,0,0,0,0,0,3510,0.0,76.0,360.0,0.0,2,4.330733340286331,8.163371316459912,0
18,LP001038,1,1,0,1,0,4887,0.0,133.0,360.0,1.0,0,4.890349128221754,8.494333897270154,0
19,LP001041,1,1,0,0,0,2600,3500.0,115.0,360.0,1.0,2,4.74493212836325,7.8632667240095735,1
20,LP001043,1,1,0,1,0,7660,0.0,104.0,360.0,0.0,2,4.6443908991413725,8.943767262734637,0
21,LP001046,1,1,1,0,0,5955,5625.0,315.0,360.0,1.0,2,5.752572638825633,8.691986481789401,1
22,LP001047,1,1,0,1,0,2600,1911.0,116.0,360.0,0.0,1,4.7535901911063645,7.8632667240095735,0
23,LP001050,1,1,2,1,0,3365,1917.0,112.0,360.0,0.0,0,4.718498871295094,8.121183242078828,0
24,LP001052,1,1,1,0,0,3717,2925.0,151.0,360.0,1.0,1,5.017279836814924,8.220672170297252,0
25,LP001066,1,1,0,0,1,9560,0.0,191.0,360.0,1.0,1,5.25227342804663,9.165343006045447,1
26,LP001068,1,1,0,0,0,2799,2253.0,122.0,360.0,1.0,1,4.804021044733257,7.937017489515454,1
27,LP001073,1,1,2,1,0,4226,1040.0,110.0,360.0,1.0,2,4.700480365792417,8.349011198176003,1
28,LP001086,1,0,0,1,0,1442,0.0,35.0,360.0,1.0,2,3.5553480614894135,7.273786317844895,0
29,LP001087,0,0,2,0,0,3750,2083.0,120.0,360.0,1.0,1,4.787491742782046,8.229511118964457,1
30,LP001091,1,1,1,0,0,4166,3369.0,201.0,360.0,1.0,2,5.303304908059076,8.334711621820917,0
31,LP001095,1,0,0,0,0,3167,0.0,74.0,360.0,1.0,2,4.30406509320417,8.06054004653864,0
32,LP001097,1,0,1,0,1,4692,0.0,106.0,360.0,1.0,0,4.663439094112067,8.453614209773367,0
33,LP001098,1,1,0,0,0,3500,1667.0,114.0,360.0,1.0,1,4.736198448394496,8.160518247477505,1
34,LP001100,1,0,3,0,0,12500,3000.0,320.0,360.0,1.0,0,5.768320995793772,9.433483923290392,0
35,LP001106,1,1,0,0,0,2275,2067.0,130.0,360.0,1.0,2,4.867534450455582,7.729735331385051,1
36,LP001109,1,1,0,0,0,1828,1330.0,100.0,360.0,0.0,2,4.605170185988092,7.510977752014095,0
37,LP001112,0,1,0,0,0,3667,1459.0,144.0,360.0,1.0,1,4.969813299576001,8.207129168071326,1
38,LP001114,1,0,0,0,0,4166,7210.0,184.0,360.0,1.0,2,5.214935757608986,8.334711621820917,1
39,LP001116,1,0,0,1,0,3748,1668.0,110.0,360.0,1.0,1,4.700480365792417,8.228977643358313,1
40,LP001119,1,0,0,0,0,3600,0.0,80.0,360.0,1.0,2,4.382026634673881,8.1886891244442,0
41,LP001120,1,0,0,0,0,1800,1213.0,47.0,360.0,1.0,2,3.8501476017100584,7.495541943884256,1
42,LP001123,1,1,0,0,0,2400,0.0,75.0,360.0,1.0,2,4.31748811353631,7.783224016336037,1
43,LP001131,1,1,0,0,0,3941,2336.0,134.0,360.0,1.0,1,4.897839799950911,8.279189777195004,1
44,LP001136,1,1,0,1,1,4695,0.0,96.0,360.0,1.0,2,4.564348191467836,8.454253391642363,1
45,LP001137,0,0,0,0,0,3410,0.0,88.0,360.0,1.0,2,4.477336814478207,8.134467570277563,1
46,LP001138,1,1,1,0,0,5649,0.0,44.0,360.0,1.0,2,3.784189633918261,8.639233817325263,1
47,LP001144,1,1,0,0,0,5821,0.0,144.0,360.0,1.0,2,4.969813299576001,8.669227347271736,1
48,LP001146,0,1,0,0,0,2645,3440.0,120.0,360.0,0.0,2,4.787491742782046,7.8804263442924,0
49,LP001151,0,0,0,0,0,4000,2275.0,144.0,360.0,1.0,1,4.969813299576001,8.294049640102028,1
50,LP001155,0,1,0,1,0,1928,1644.0,100.0,360.0,1.0,1,4.605170185988092,7.564238475170491,1
51,LP001157,0,0,0,0,0,3086,0.0,120.0,360.0,1.0,1,4.787491742782046,8.034631032923107,1
52,LP001164,0,0,0,0,0,4230,0.0,112.0,360.0,1.0,1,4.718498871295094,8.349957272040324,0
53,LP001179,1,1,2,0,0,4616,0.0,134.0,360.0,1.0,2,4.897839799950911,8.437283808187935,0
54,LP001186,0,1,1,0,1,11500,0.0,286.0,360.0,0.0,2,5.655991810819852,9.350102314351341,0
55,LP001194,1,1,2,0,0,2708,1167.0,97.0,360.0,1.0,1,4.574710978503383,7.903965634032166,1
56,LP001195,1,1,0,0,0,2132,1591.0,96.0,360.0,1.0,1,4.564348191467836,7.664815785285735,1
57,LP001197,1,1,0,0,0,3366,2200.0,135.0,360.0,1.0,0,4.90527477843843,8.121480374750751,0
58,LP001198,1,1,1,0,0,8080,2250.0,180.0,360.0,1.0,2,5.19295685089021,8.997147151515142,1
59,LP001199,1,1,2,1,0,3357,2859.0,144.0,360.0,1.0,2,4.969813299576001,8.118802996980035,1
60,LP001205,1,1,0,0,0,2500,3796.0,120.0,360.0,1.0,2,4.787491742782046,7.824046010856292,1
61,LP001206,1,1,3,0,0,3029,0.0,99.0,360.0,1.0,2,4.59511985013459,8.015987811027237,1
62,LP001207,1,1,0,1,1,2609,3449.0,165.0,180.0,0.0,0,5.10594547390058,7.866722285136729,0
63,LP001213,1,1,1,0,0,4945,0.0,130.0,360.0,0.0,0,4.867534450455582,8.506132244056813,0
64,LP001222,0,0,0,0,0,4166,0.0,116.0,360.0,0.0,1,4.7535901911063645,8.334711621820917,0
65,LP001225,1,1,0,0,0,5726,4595.0,258.0,360.0,1.0,1,5.552959584921617,8.65277248565806,0
66,LP001228,1,0,0,1,0,3200,2254.0,126.0,180.0,0.0,2,4.836281906951478,8.070906088787819,0
67,LP001233,1,1,1,0,0,10750,0.0,312.0,360.0,1.0,2,5.7430031878094825,9.28266103355581,1
68,LP001238,1,1,3,1,1,7100,0.0,125.0,60.0,1.0,2,4.8283137373023015,8.867850063029406,1
69,LP001241,0,0,0,0,0,4300,0.0,136.0,360.0,0.0,1,4.912654885736052,8.366370301681654,0
70,LP001243,1,1,0,0,0,3208,3066.0,172.0,360.0,1.0,2,5.147494476813453,8.073402968986406,1
71,LP001245,1,1,2,1,1,1875,1875.0,97.0,360.0,1.0,1,4.574710978503383,7.536363938404511,1
72,LP001248,1,0,0,0,0,3500,0.0,81.0,300.0,1.0,1,4.394449154672439,8.160518247477505,1
73,LP001250,1,1,3,1,0,4755,0.0,95.0,360.0,0.0,1,4.553876891600541,8.46695197497949,0
74,LP001253,1,1,3,0,1,5266,1774.0,187.0,360.0,1.0,1,5.231108616854587,8.569026340056254,1
75,LP001255,1,0,0,0,0,3750,0.0,113.0,480.0,1.0,2,4.727387818712341,8.229511118964457,0
76,LP001256,1,0,0,0,0,3750,4750.0,176.0,360.0,1.0,2,5.170483995038151,8.229511118964457,0
77,LP001259,1,1,1,0,1,1000,3022.0,110.0,360.0,1.0,2,4.700480365792417,6.907755278982137,0
78,LP001263,1,1,3,0,0,3167,4000.0,180.0,300.0,0.0,1,5.19295685089021,8.06054004653864,0
79,LP001264,1,1,3,1,1,3333,2166.0,130.0,360.0,1.0,1,4.867534450455582,8.11162807830774,1
80,LP001265,0,0,0,0,0,3846,0.0,111.0,360.0,1.0,1,4.709530201312334,8.254788926148725,1
81,LP001266,1,1,1,0,1,2395,0.0,157.5,360.0,1.0,1,5.059425458265688,7.781138509845015,1
82,LP001267,0,1,2,0,0,1378,1881.0,167.0,360.0,1.0,2,5.117993812416755,7.228388451573604,0
83,LP001273,1,1,0,0,0,6000,2250.0,265.0,360.0,1.0,1,5.579729825986222,8.699514748210191,0
84,LP001275,1,1,1,0,0,3988,0.0,50.0,240.0,1.0,2,3.912023005428146,8.291045131081729,1
85,LP001279,1,0,0,0,0,2366,2531.0,136.0,360.0,1.0,1,4.912654885736052,7.768956044538332,1
86,LP001280,1,1,2,1,0,3333,2000.0,99.0,360.0,1.0,1,4.59511985013459,8.11162807830774,1
87,LP001282,1,1,0,0,0,2500,2118.0,104.0,360.0,1.0,1,4.6443908991413725,7.824046010856292,1
88,LP001289,1,0,0,0,0,8566,0.0,210.0,360.0,1.0,2,5.3471075307174685,9.055556158175316,1
89,LP001310,1,1,0,0,0,5695,4167.0,175.0,360.0,1.0,1,5.1647859739235145,8.647343875881283,1
90,LP001316,1,1,0,0,0,2958,2900.0,131.0,360.0,1.0,1,4.875197323201151,7.992268643270745,1
91,LP001318,1,1,2,0,0,6250,5654.0,188.0,180.0,1.0,1,5.236441962829949,8.740336742730447,1
92,LP001319,1,1,2,1,0,3273,1820.0,81.0,360.0,1.0,2,4.394449154672439,8.09346227450118,1
93,LP001322,1,0,0,0,0,4133,0.0,122.0,360.0,1.0,1,4.804021044733257,8.326758814511733,1
94,LP001325,1,0,0,1,0,3620,0.0,25.0,120.0,1.0,1,3.2188758248682006,8.194229304819817,1
95,LP001326,1,0,0,0,0,6782,0.0,130.0,360.0,1.0,2,4.867534450455582,8.822027322685583,0
96,LP001327,0,1,0,0,0,2484,2302.0,137.0,360.0,1.0,1,4.919980925828125,7.81762544305337,1
97,LP001333,1,1,0,0,0,1977,997.0,50.0,360.0,1.0,1,3.912023005428146,7.589335823170617,1
98,LP001334,1,1,0,1,0,4188,0.0,115.0,180.0,1.0,1,4.74493212836325,8.339978571990427,1
99,LP001343,1,1,0,0,0,1759,3541.0,131.0,360.0,1.0,1,4.875197323201151,7.472500744737558,1
100,LP001345,1,1,2,1,0,4288,3263.0,133.0,180.0,1.0,2,4.890349128221754,8.363575702750637,1
101,LP001349,1,0,0,0,0,4843,3806.0,151.0,360.0,1.0,1,5.017279836814924,8.48528964240323,1
102,LP001350,1,1,0,0,0,13650,0.0,130.0,360.0,1.0,2,4.867534450455582,9.521494800613105,1
103,LP001356,1,1,0,0,0,4652,3583.0,130.0,360.0,1.0,1,4.867534450455582,8.445052513638554,1
104,LP001357,1,1,0,0,0,3816,754.0,160.0,360.0,1.0,2,5.075173815233827,8.246958032568177,1
105,LP001367,1,1,1,0,0,3052,1030.0,100.0,360.0,1.0,2,4.605170185988092,8.023552392404348,1
106,LP001369,1,1,2,0,0,11417,1126.0,225.0,360.0,1.0,2,5.41610040220442,9.342858751676328,1
107,LP001370,1,0,0,1,0,7333,0.0,120.0,360.0,1.0,0,4.787491742782046,8.9001399880938,0
108,LP001379,1,1,2,0,0,3800,3600.0,216.0,360.0,0.0,2,5.375278407684165,8.242756345714477,0
109,LP001384,1,1,3,1,0,2071,754.0,94.0,480.0,1.0,1,4.543294782270004,7.635786861395585,1
110,LP001385,1,0,0,0,0,5316,0.0,136.0,360.0,1.0,2,4.912654885736052,8.578476419833136,1
111,LP001387,0,1,0,0,0,2929,2333.0,139.0,360.0,1.0,1,4.9344739331306915,7.982416346827733,1
112,LP001391,1,1,0,1,0,3572,4114.0,152.0,360.0,0.0,0,5.0238805208462765,8.18088094199639,0
113,LP001392,0,0,1,0,1,7451,0.0,157.5,360.0,1.0,1,5.059425458265688,8.916103530553727,1
114,LP001398,1,0,0,0,0,5050,0.0,118.0,360.0,1.0,1,4.770684624465665,8.527143522269405,1
